can_id,type,begin_loc,length,score,value_list
19E,0,56,8,731514,[]
19E,2,2,29,29,[0]
19E,2,46,10,10,[0]
19E,2,32,3,3,[0]
19E,3,0,2,2,[]
19E,5,35,11,11,[]
19E,5,31,1,1,[]
621,2,0,64,64,[0]
601,2,0,64,64,[0]
348,0,40,8,731626,[]
348,1,0,16,1042,"[0, 2933, 123]"
348,1,24,8,236,"[0, 255, 254]"
348,2,48,16,16,[0]
348,2,17,4,4,[0]
348,2,34,4,4,[0]
348,3,38,2,2,[]
348,5,21,3,3,[]
348,5,32,2,2,[]
348,5,16,1,1,[]
60C,2,0,64,64,[0]
481,2,0,33,33,[0]
481,2,48,16,16,[0]
481,2,38,3,3,[0]
481,2,35,2,2,[0]
481,5,41,7,7,[]
481,5,33,2,2,[]
481,5,37,1,1,[]
263,0,56,8,365750,[]
263,2,2,54,54,[6042915906256896]
263,3,0,2,2,[]
604,2,0,64,64,[0]
17D,0,40,8,74032,[]
17D,1,24,8,256,"[0, 255, 255]"
17D,2,48,16,16,[0]
17D,2,0,12,12,[0]
17D,2,14,9,9,[0]
17D,2,35,5,5,[0]
17D,3,12,2,2,[]
17D,5,32,3,3,[]
17D,5,23,1,1,[]
19D,0,56,8,731514,[]
19D,1,24,8,256,"[0, 255, 255]"
19D,1,48,8,216,"[0, 255, 255]"
19D,2,32,9,9,[0]
19D,2,0,3,3,[0]
19D,2,14,2,2,[0]
19D,2,18,2,2,[0]
19D,3,16,2,2,[]
19D,5,3,11,11,[]
19D,5,41,7,7,[]
19D,5,20,4,4,[]
1.00E+09,0,56,8,365806,[]
1.00E+09,1,8,8,173,"[0, 255, 255]"
1.00E+09,1,40,8,256,"[0, 255, 255]"
1.00E+09,2,25,11,11,[0]
1.00E+09,2,16,8,8,[0]
1.00E+09,2,0,4,4,[0]
1.00E+09,2,51,3,3,[0]
1.00E+09,2,48,1,1,[0]
1.00E+09,3,54,2,2,[]
1.00E+09,4,4,4,4,"[0, 15, 14, 1]"
1.00E+09,5,36,4,4,[]
1.00E+09,5,49,2,2,[]
1.00E+09,5,24,1,1,[]
34A,0,40,8,731612,[]
34A,1,0,16,1039,"[0, 2927, 93]"
34A,1,24,8,237,"[0, 255, 254]"
34A,2,48,16,16,[0]
34A,2,17,4,4,[0]
34A,2,34,4,4,[0]
34A,3,38,2,2,[]
34A,5,21,3,3,[]
34A,5,32,2,2,[]
34A,5,16,1,1,[]
19B,0,56,8,731514,[]
19B,1,24,8,256,"[0, 255, 255]"
19B,2,2,18,18,[223752]
19B,2,51,5,5,[0]
19B,2,32,3,3,[3]
19B,2,44,3,3,[0]
19B,2,48,1,1,[0]
19B,3,0,2,2,[]
19B,4,20,4,4,"[7, 8]"
19B,5,35,9,9,[]
19B,5,49,2,2,[]
19B,5,47,1,1,[]
140,2,22,42,42,[0]
140,2,0,9,9,[0]
140,2,10,8,8,[96]
140,5,18,4,4,[]
140,5,9,1,1,[]
52A,2,16,18,18,[18]
52A,2,2,6,6,[0]
52A,2,55,4,4,[3]
52A,2,39,3,3,[2]
52A,2,47,3,3,[2]
52A,2,52,2,2,[2]
52A,2,44,2,2,[1]
52A,2,60,1,1,[1]
52A,2,63,1,1,[0]
52A,3,0,2,2,[]
52A,4,8,8,8,"[130, 123, 90, 96, 133, 93, 92, 124, 95]"
52A,4,34,5,5,"[12, 11, 20]"
52A,5,42,2,2,[]
52A,5,61,2,2,[]
52A,5,50,2,2,[]
52A,5,59,1,1,[]
52A,5,54,1,1,[]
52A,5,46,1,1,[]
3D1,1,8,8,147,"[0, 147, 23]"
3D1,1,40,8,256,"[0, 255, 254]"
3D1,2,18,16,16,[0]
3D1,2,48,16,16,[0]
3D1,2,0,8,8,[4]
3D1,2,35,4,4,[0]
3D1,2,16,1,1,[0]
3D1,5,39,1,1,[]
3D1,5,34,1,1,[]
3D1,5,17,1,1,[]
191,0,56,8,740320,[]
191,1,8,8,256,"[0, 255, 255]"
191,1,24,8,241,"[0, 255, 255]"
191,1,40,8,256,"[0, 255, 255]"
191,2,16,7,7,[3]
191,2,32,7,7,[3]
191,2,3,4,4,[3]
191,2,48,1,1,[0]
191,3,0,2,2,[]
191,5,49,7,7,[]
191,5,39,1,1,[]
191,5,2,1,1,[]
191,5,23,1,1,[]
191,5,7,1,1,[]
269,0,56,8,365806,[]
269,1,40,8,256,"[0, 255, 255]"
269,2,2,19,19,[2]
269,2,50,6,6,[0]
269,2,28,5,5,[0]
269,2,48,1,1,[0]
269,2,35,1,1,[0]
269,2,22,1,1,[0]
269,2,24,1,1,[0]
269,2,26,1,1,[0]
269,3,0,2,2,[]
269,5,36,4,4,[]
269,5,33,2,2,[]
269,5,21,1,1,[]
269,5,27,1,1,[]
269,5,23,1,1,[]
269,5,25,1,1,[]
269,5,49,1,1,[]
4C9,2,40,24,24,[0]
4C9,2,0,11,11,[3]
4C9,2,16,9,9,[0]
4C9,2,27,9,9,[8]
4C9,5,11,5,5,[]
4C9,5,36,4,4,[]
4C9,5,25,2,2,[]
C5,0,56,8,740306,[]
C5,1,8,8,256,"[0, 255, 255]"
C5,1,40,8,256,"[0, 255, 255]"
C5,2,16,19,19,[0]
C5,2,48,8,8,[0]
C5,2,2,1,1,[0]
C5,2,37,1,1,[0]
C5,2,5,1,1,[0]
C5,3,0,2,2,[]
C5,5,38,2,2,[]
C5,5,6,2,2,[]
C5,5,3,2,2,[]
C5,5,35,2,2,[]
4F1,2,0,62,62,[0]
4F1,5,62,2,2,[]
3.00E+09,1,0,16,2482,"[0, 3716, 78]"
3.00E+09,2,16,48,48,[0]
C1,0,56,8,740306,[]
C1,1,8,8,256,"[0, 255, 255]"
C1,1,40,8,256,"[0, 255, 255]"
C1,2,16,19,19,[0]
C1,2,48,8,8,[0]
C1,2,2,1,1,[0]
C1,2,37,1,1,[0]
C1,2,5,1,1,[0]
C1,3,0,2,2,[]
C1,5,38,2,2,[]
C1,5,6,2,2,[]
C1,5,3,2,2,[]
C1,5,35,2,2,[]
3.00E+05,1,0,16,2472,"[0, 3724, 120]"
3.00E+05,2,16,48,48,[0]
4D1,2,0,43,43,[0]
4D1,2,48,8,8,[0]
4D1,4,56,8,8,"[64, 71, 175, 75, 65, 112, 67]"
4D1,5,43,5,5,[]
565,2,13,51,51,[45079976738816]
565,2,2,6,6,[35]
565,2,10,1,1,[1]
565,5,0,2,2,[]
565,5,8,2,2,[]
565,5,11,2,2,[]
C9,0,56,8,1480640,[]
C9,1,8,16,2535,"[0, 8912, 896]"
C9,2,40,7,7,[64]
C9,2,50,6,6,[0]
C9,2,28,5,5,[0]
C9,2,1,4,4,[0]
C9,2,24,3,3,[0]
C9,2,6,2,2,[0]
C9,5,33,7,7,[]
C9,5,47,3,3,[]
C9,5,0,1,1,[]
C9,5,27,1,1,[]
C9,5,5,1,1,[]
194,1,0,16,1034,"[680, 4411, 1412]"
194,1,24,8,147,"[0, 185, 56]"
194,2,48,16,16,[0]
194,2,32,11,11,[380]
194,5,16,8,8,[]
194,5,43,5,5,[]
141,2,0,64,64,[0]
1F5,0,56,8,731514,[]
1F5,2,24,18,18,[0]
1F5,2,43,13,13,[0]
1F5,2,2,10,10,[0]
1F5,2,16,4,4,[0]
1F5,3,0,2,2,[]
1F5,5,20,4,4,[]
1F5,5,12,4,4,[]
1F5,5,42,1,1,[]
1.00E+05,0,56,8,739088,[]
1.00E+05,1,16,8,256,"[0, 255, 255]"
1.00E+05,1,48,8,256,"[0, 255, 255]"
1.00E+05,2,36,10,10,[144]
1.00E+05,2,0,6,6,[17]
1.00E+05,2,24,4,4,[8]
1.00E+05,2,29,3,3,[0]
1.00E+05,2,7,1,1,[0]
1.00E+05,3,32,4,4,[]
1.00E+05,5,8,8,8,[]
1.00E+05,5,46,2,2,[]
1.00E+05,5,6,1,1,[]
1.00E+05,5,28,1,1,[]
608,2,0,64,64,[0]
120,2,26,38,38,[0]
120,2,0,23,23,[112]
120,5,23,3,3,[]
1C6,0,56,8,365806,[]
1C6,2,0,54,54,[1125917086711808]
1C6,3,54,2,2,[]
471,0,56,8,74032,[]
471,2,16,27,27,[682]
471,2,47,9,9,[0]
471,2,2,4,4,[2]
471,2,44,2,2,[0]
471,2,7,2,2,[0]
471,3,0,2,2,[]
471,4,9,7,7,"[120, 118, 0, 119]"
471,5,6,1,1,[]
471,5,43,1,1,[]
471,5,46,1,1,[]
230,0,56,8,146328,[]
230,2,19,33,33,[0]
230,2,0,6,6,[0]
230,2,11,4,4,[0]
230,2,7,3,3,[0]
230,2,54,2,2,[0]
230,2,16,1,1,[0]
230,5,17,2,2,[]
230,5,52,2,2,[]
230,5,6,1,1,[]
230,5,10,1,1,[]
230,5,15,1,1,[]
E1,0,56,8,14630,[]
E1,2,0,54,54,[2199023255552]
E1,3,54,2,2,[]
603,2,0,64,64,[0]
1C3,1,8,8,256,"[0, 255, 255]"
1C3,1,24,8,256,"[0, 255, 255]"
1C3,2,32,32,32,[256]
1C3,2,16,7,7,[3]
1C3,2,3,4,4,[3]
1C3,2,1,1,1,[0]
1C3,5,0,1,1,[]
1C3,5,2,1,1,[]
1C3,5,23,1,1,[]
1C3,5,7,1,1,[]
4C1,1,8,8,184,"[61, 255, 93]"
4C1,2,32,13,13,[3904]
4C1,2,46,11,11,[0]
4C1,2,0,8,8,[4]
4C1,2,16,4,4,[7]
4C1,2,24,4,4,[4]
4C1,4,20,4,4,"[7, 8, 6]"
4C1,5,57,7,7,[]
4C1,5,28,4,4,[]
4C1,5,45,1,1,[]
128,0,56,8,365820,[]
128,1,8,8,152,"[0, 255, 255]"
128,1,24,8,253,"[0, 255, 255]"
128,2,32,24,24,[0]
128,2,16,7,7,[0]
128,2,2,2,2,[0]
128,3,0,2,2,[]
128,4,4,4,4,"[0, 15]"
128,5,23,1,1,[]
589,0,56,8,740306,[]
589,2,28,16,16,[6]
589,2,2,14,14,[0]
589,2,52,4,4,[0]
589,3,0,2,2,[]
589,4,16,7,7,"[65, 59, 62, 63, 58, 66, 64, 61, 60, 67]"
589,5,44,8,8,[]
589,5,23,5,5,[]
1F1,0,56,8,73178,[]
1F1,2,10,31,31,[0]
1F1,2,42,14,14,[0]
1F1,2,4,4,4,[0]
1F1,2,0,2,2,[0]
1F1,3,8,2,2,[]
1F1,5,2,2,2,[]
1F1,5,41,1,1,[]
12A,2,23,41,41,[137438953472]
12A,2,0,16,16,[0]
12A,2,17,1,1,[0]
12A,2,19,1,1,[0]
12A,2,21,1,1,[0]
12A,5,16,1,1,[]
12A,5,22,1,1,[]
12A,5,18,1,1,[]
12A,5,20,1,1,[]
