,time,can_id,length,data0,data1,data2,data3,data4,data5,data6,data_in_binary,data_in_hex
0,0.037122905,19B,1.11101E+63,F6A087226AA00049,,,,,,,,
1,0.037361204,C9,1.00001E+63,840BBE000081C08E,,,,,,,,
2,0.037611186,141,0,0,,,,,,,,
3,0.037849485,C9,1.00001E+63,840BBE000081C08E,,,,,,,,
4,0.038079977,191,1.11001E+63,E6A906A006AA00E5,,,,,,,,
5,0.038313865,19D,1.01101E+59,0B4CCFFF005AA01F,,,,,,,,
6,0.038550257,19E,1.1E+63,C00000010AF000BB,,,,,,,,
7,0.038788557,1C3,1.10101E+58,06A9067E00000100,,,,,,,,
8,0.039036572,1F5,1.1E+63,C00F0F00000000DE,,,,,,,,
9,0.039278805,3D1,1E+58,040A000000270000,,,,,,,,
10,0.039517104,589,1.1E+63,C00077D00068309F,,,,,,,,
11,0.042083203,1.00E+05,1.0001E+62,4.40009E+15,,,,,,,,
12,0.042555511,348,100000001,101,,,,,,,,
13,0.043477773,C1,1.011E+62,5.8E+15,,,,,,,,
14,0.043719947,C5,1.011E+62,5.801E+15,,,,,,,,
15,0.043910503,120,1.11E+23,0.00E+00,,,,,,,,
16,0.044148802,128,1.00111E+62,4FE300EC0000001E,,,,,,,,
17,0.044384658,471,1.00001E+59,8.76E+14,,,,,,,,
18,0.044629275,1C6,1E+60,1.0001E+15,,,,,,,,
19,0.044873416,1.00E+09,1.11111E+59,0FFA00000000010A,,,,,,,,
20,0.045083463,34A,100000001,101,,,,,,,,
21,0.045347631,269,1E+62,4.00016E+15,,,,,,,,
22,0.047123968,19B,1.1011E+61,36A087226AA00089,,,,,,,,
23,0.047360301,C9,1.00001E+63,840BBE00008100CE,,,,,,,,
24,0.047594726,191,1.0011E+61,26A906A006AA0025,,,,,,,,
25,0.047830581,C9,1.00001E+63,840BBE00008100CE,,,,,,,,
26,0.048065006,19D,1.01101E+59,0B500FFF005AA063,,,,,,,,
27,0.048305213,19E,1.00001E+32,000000010AF000FB,,,,,,,,
28,0.048555255,1F5,1.111E+51,000F0F000000001E,,,,,,,,
29,0.048797428,3D1,1E+58,040A000000270000,,,,,,,,
30,0.049040079,589,1.11011E+46,000077D0006830DF,,,,,,,,
31,0.051358103,263,1.0101E+60,157800000000008D,,,,,,,,
32,0.052194535,1.00E+05,1.0001E+62,4.40009E+15,,,,,,,,
33,0.052630782,348,1000000010,202,,,,,,,,
34,0.053374588,C1,1.0011E+63,98000000180000B0,,,,,,,,
